variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_14	1.33E-02	5.02E-01	5.73E-01	-8.63E-02	1.53E-01	3.27E-02	bad-chisq
group_27839	1.00E-02	1.76E-01	1.79E-01	2.34E-01	1.74E-01	7.79E-02	bad-chisq
group_27832	1.00E-02	1.76E-01	1.63E-01	2.44E-01	1.74E-01	8.08E-02	bad-chisq
group_27829	1.00E-02	5.62E-01	5.76E-01	-9.76E-02	1.75E-01	3.24E-02	bad-chisq
group_27828	1.00E-02	1.76E-01	1.87E-01	2.30E-01	1.74E-01	7.63E-02	bad-chisq
group_27823	1.00E-02	5.62E-01	5.54E-01	-1.03E-01	1.74E-01	3.43E-02	bad-chisq
group_27821	1.00E-02	1.76E-01	1.87E-01	2.30E-01	1.74E-01	7.64E-02	bad-chisq
group_27816	1.00E-02	1.76E-01	1.84E-01	2.31E-01	1.74E-01	7.69E-02	bad-chisq
group_27815	1.00E-02	5.62E-01	5.64E-01	-1.01E-01	1.75E-01	3.34E-02	bad-chisq
group_27814	1.00E-02	5.62E-01	5.69E-01	-9.96E-02	1.75E-01	3.30E-02	bad-chisq
group_27813	1.00E-02	5.62E-01	5.69E-01	-9.96E-02	1.75E-01	3.30E-02	bad-chisq
group_27812	1.00E-02	5.62E-01	5.69E-01	-9.96E-02	1.75E-01	3.30E-02	bad-chisq
group_27794	1.00E-02	1.01E-03	9.73E-04	5.70E-01	1.71E-01	1.89E-01	bad-chisq
group_27730	1.00E-02	5.62E-01	5.69E-01	-9.96E-02	1.75E-01	3.30E-02	bad-chisq
group_27605	1.00E-02	5.62E-01	5.56E-01	-1.03E-01	1.74E-01	3.41E-02	bad-chisq
group_27603	1.00E-02	1.76E-01	1.80E-01	2.34E-01	1.74E-01	7.76E-02	bad-chisq
group_27600	1.00E-02	1.76E-01	1.80E-01	2.34E-01	1.74E-01	7.76E-02	bad-chisq
group_27598	1.00E-02	5.62E-01	5.36E-01	-1.08E-01	1.74E-01	3.58E-02	bad-chisq
group_27597	1.00E-02	5.62E-01	5.43E-01	-1.06E-01	1.74E-01	3.52E-02	bad-chisq
group_27596	1.00E-02	5.62E-01	5.43E-01	-1.06E-01	1.74E-01	3.52E-02	bad-chisq
group_27592	1.00E-02	5.62E-01	5.62E-01	-1.01E-01	1.74E-01	3.36E-02	bad-chisq
group_27591	1.00E-02	5.62E-01	5.62E-01	-1.01E-01	1.74E-01	3.36E-02	bad-chisq
group_27588	1.00E-02	5.62E-01	5.63E-01	-1.01E-01	1.74E-01	3.35E-02	bad-chisq
group_27587	1.00E-02	5.62E-01	5.62E-01	-1.01E-01	1.74E-01	3.36E-02	bad-chisq
group_27583	1.00E-02	5.62E-01	5.62E-01	-1.01E-01	1.74E-01	3.36E-02	bad-chisq
group_27582	1.00E-02	5.62E-01	5.62E-01	-1.01E-01	1.74E-01	3.36E-02	bad-chisq
group_27555	1.00E-02	5.62E-01	5.62E-01	-1.01E-01	1.74E-01	3.36E-02	bad-chisq
group_27550	1.00E-02	5.62E-01	5.63E-01	-1.01E-01	1.74E-01	3.35E-02	bad-chisq
group_27508	1.00E-02	5.62E-01	6.26E-01	-8.56E-02	1.75E-01	2.83E-02	bad-chisq
group_27507	1.00E-02	5.62E-01	6.26E-01	-8.56E-02	1.75E-01	2.83E-02	bad-chisq
group_27502	1.00E-02	5.62E-01	5.60E-01	-1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_27492	1.00E-02	5.62E-01	5.29E-01	-1.10E-01	1.74E-01	3.65E-02	bad-chisq
group_27491	1.00E-02	5.62E-01	5.29E-01	-1.10E-01	1.74E-01	3.65E-02	bad-chisq
group_27490	1.00E-02	5.62E-01	5.29E-01	-1.10E-01	1.74E-01	3.65E-02	bad-chisq
group_27488	1.00E-02	5.62E-01	5.29E-01	-1.10E-01	1.74E-01	3.65E-02	bad-chisq
group_27487	1.00E-02	5.62E-01	5.29E-01	-1.10E-01	1.74E-01	3.65E-02	bad-chisq
group_27485	1.00E-02	5.62E-01	5.29E-01	-1.10E-01	1.74E-01	3.65E-02	bad-chisq
